Type,Item,Description,Impact_or_Rationale,Mitigation_or_Next_Step,Owner,Status
Issue,Limited audit traceability,"Current manual process makes it harder to consistently capture who approved, what was built, what was scanned, and what was deployed.",Creates compliance and audit evidence gaps.,"Capture commit SHA, image digest, scan result, SBOM, POA&M output, approvals, deployment status, and release metadata.",My Team,Open
Dependency,Security gate approval,"Security team must review and approve scan thresholds, fail criteria, exception handling, and POA&M output.",Pipeline cannot become the approved control without security agreement.,Schedule security review and document approved gate policy.,Security Team / My Team,Open
Dependency,ACR Task architecture approval,Security/platform team must review the use of public/default ACR Task pool for bootstrap and private ACR agent pool for internal builds.,Architecture approval is needed because the public/default pool is not inside the customer VNet.,Present boundary diagram and document allowed use cases for each agent pool.,Security Team / Platform Team / My Team,Open
Dependency,Azure Gov RBAC / OIDC setup,"GitHub OIDC federation and Azure RBAC permissions must be configured for ACR, AKS, and deployment actions.",Pipeline requires passwordless cloud authentication and scoped authorization.,Create federated credential and assign least-privilege RBAC roles.,My Team / Cloud IAM,Open
Dependency,Private ACR agent pool networking,"Dedicated ACR agent pool must be attached to the correct VNet/subnet and allowed to reach internal JFrog, internal CA, ACR, and required services.",Internalized image builds depend on private network access.,"Validate routing, DNS, firewall rules, private endpoints, and required egress paths.",Network Team / Platform Team / My Team,Open
Dependency,Downstream deployment repo,Repository dispatch workflow must exist and accept image version tags for Terraform/Helm deployment.,Image promotion depends on automated downstream deployment.,Implement dispatch payload contract and downstream workflow.,My Team,Open
Dependency,Runner group validation,Nonprod and prod runner groups must have validation workflows that confirm the new images can pick up jobs successfully.,Promotion depends on proving runner groups function correctly.,Create runs-on validation workflows for all required runner groups.,My Team,Open
Dependency,Evidence retention location,"Build logs, SBOMs, scan reports, POA&M artifacts, and release metadata need an approved storage and retention location.",Auditability depends on retained and retrievable evidence.,"Define approved evidence repository, retention period, and access control.",Security Team / Compliance / My Team,Open
Decision,Promotion model,"Move from per-environment image builds to build once, validate, and promote.","Improves consistency, traceability, and operational efficiency.",Approve nonprod-to-prod image promotion model.,Voting Members / My Team,Pending Decision
Decision,Security gate enforcement,Determine what severity levels block promotion and what requires POA&M or exception handling.,Defines how the pipeline enforces security policy.,Approve Trivy/security gate policy.,Security Team / Voting Members,Pending Decision
Decision,Public/default ACR Task usage,Decide whether the default/public ACR Task pool is acceptable for bootstrap builds only.,The public/default pool is Azure-managed and not inside the customer VNet.,Approve limited use of public/default pool for non-sensitive bootstrap stage.,Security Team / Platform Team / Voting Members,Pending Decision
Decision,Private agent pool usage,"Use dedicated private ACR agent pool for internalized builds that require internal CA, JFrog mirror, and private configuration.",Keeps sensitive build stages in the customer-controlled private network path.,Approve private ACR agent pool as required for sensitive/internal build stages.,Security Team / Platform Team / Voting Members,Pending Decision
Decision,Release authority,Determine what event marks an image as production approved.,"Clarifies whether approval is tied to promotion gate approval, prod validation success, or GitHub release creation.",Define official release approval point.,Voting Members / My Team,Pending Decision
Decision,POA&M workflow,Determine whether generated POA&M artifacts are stored as pipeline evidence initially or integrated directly into a formal GRC process.,Determines how findings are tracked and reviewed.,Approve initial POA&M handling approach.,Security Team / Compliance / Voting Members,Pending Decision
Tech Debt,File-based POA&M output,Initial POA&M entries may be generated as files/artifacts rather than integrated directly into a GRC platform.,Manual review/import may still be required.,Deliver immediate visibility while allowing later GRC integration.,My Team / Security Team,Accepted for Initial Release
Tech Debt,Initial Trivy-only CI/CD gate,The first implementation may use Trivy as the primary pipeline gate while JFrog Xray remains separate.,Multiple scanners are not yet fully normalized into one policy engine.,Provide immediate CI/CD enforcement while preserving future scanner correlation work.,My Team / Security Team,Accepted for Initial Release
Tech Debt,Manual approval gate,Promotion may initially require manual approval in GitHub rather than full integration with change management tooling.,Approval evidence may live in GitHub instead of the enterprise change system.,Enable controlled rollout while formal change integration is defined.,My Team,Accepted for Initial Release
Tech Debt,Limited automated exception workflow,Exceptions may initially be documented in POA&M artifacts or review comments rather than a fully automated risk acceptance workflow.,Exception lifecycle may require manual follow-up.,Launch the security gate without waiting for full risk workflow automation.,My Team / Security Team,Accepted for Initial Release
Tech Debt,Bootstrap build on public/default ACR pool,Bootstrap build may use Azure-managed default/public ACR Task compute outside the customer VNet.,It is not fully private-network-contained.,Use only for low-sensitivity bootstrap build to reduce complexity; internalized builds use private agent pool.,My Team / Security Team,Pending Approval
